Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeWin,home_avg_for,home_avg_against,home_winrate,away_avg_for,away_avg_against,away_winrate
2025-08-23,Burnley,Sunderland,2,0,H,1,0.974025974025974,1.7402597402597402,0.15584415584415584,3.0,0.0,1.0
2025-08-23,Arsenal,Leeds,5,0,H,1,2.026143790849673,1.0065359477124183,0.6339869281045751,1.1818181818181819,2.038961038961039,0.22077922077922077
2025-08-24,Crystal Palace,Nott'm Forest,1,1,D,0,1.2941176470588236,1.3333333333333333,0.3137254901960784,1.2869565217391303,1.5826086956521739,0.33043478260869563
2025-08-24,Everton,Brighton,2,0,H,1,1.0392156862745099,1.4313725490196079,0.28104575163398693,1.542483660130719,1.4313725490196079,0.3790849673202614
2025-08-24,Fulham,Man United,1,1,D,0,1.434782608695652,1.4695652173913043,0.3739130434782609,1.411764705882353,1.392156862745098,0.4444444444444444
2025-08-25,Newcastle,Liverpool,2,3,A,0,1.7320261437908497,1.3333333333333333,0.45751633986928103,2.2549019607843137,1.026143790849673,0.6339869281045751
2025-08-30,Chelsea,Fulham,2,0,H,1,1.6883116883116882,1.2142857142857142,0.461038961038961,1.4310344827586208,1.4655172413793103,0.3706896551724138
2025-08-30,Man United,Burnley,3,2,H,1,1.4090909090909092,1.3896103896103895,0.44155844155844154,0.9871794871794872,1.7179487179487178,0.16666666666666666
2025-08-30,Sunderland,Brentford,2,1,H,1,1.5,1.0,0.5,1.4935064935064934,1.474025974025974,0.35714285714285715
2025-08-30,Tottenham,Bournemouth,0,1,A,0,1.8311688311688312,1.4870129870129871,0.474025974025974,1.3103448275862069,1.6206896551724137,0.3448275862068966
2025-08-30,Wolves,Everton,2,3,A,0,1.1233766233766234,1.5584415584415585,0.33116883116883117,1.0454545454545454,1.422077922077922,0.2857142857142857
2025-08-30,Leeds,Newcastle,0,0,D,0,1.1666666666666667,2.076923076923077,0.21794871794871795,1.7337662337662338,1.344155844155844,0.45454545454545453
2025-08-31,Brighton,Man City,2,1,H,1,1.5324675324675325,1.4350649350649352,0.37662337662337664,2.3701298701298703,0.9025974025974026,0.6948051948051948
2025-08-31,Nott'm Forest,West Ham,0,3,A,0,1.2844827586206897,1.5775862068965518,0.3275862068965517,1.3571428571428572,1.6233766233766234,0.33766233766233766
2025-08-31,Liverpool,Arsenal,1,0,H,1,2.25974025974026,1.0324675324675325,0.6363636363636364,2.0454545454545454,1.0,0.6363636363636364
2025-08-31,Aston Villa,Crystal Palace,0,3,A,0,1.5389610389610389,1.3831168831168832,0.45454545454545453,1.2922077922077921,1.3311688311688312,0.3116883116883117
2022-08-05,Crystal Palace,Arsenal,0,2,A,0,1.3157894736842106,1.2105263157894737,0.2894736842105263,1.605263157894737,1.263157894736842,0.5789473684210527
2022-08-06,Fulham,Liverpool,2,2,D,0,,,,2.473684210526316,0.6842105263157895,0.7368421052631579
2022-08-06,Bournemouth,Aston Villa,2,0,H,1,,,,1.368421052631579,1.4210526315789473,0.34210526315789475
2022-08-06,Leeds,Wolves,2,1,H,1,1.105263157894737,2.0789473684210527,0.23684210526315788,1.0,1.131578947368421,0.39473684210526316
2022-08-06,Newcastle,Nott'm Forest,2,0,H,1,1.1578947368421053,1.631578947368421,0.34210526315789475,,,
2022-08-06,Tottenham,Southampton,4,1,H,1,1.8157894736842106,1.0526315789473684,0.5789473684210527,1.131578947368421,1.763157894736842,0.23684210526315788
2022-08-06,Everton,Chelsea,0,1,A,0,1.131578947368421,1.736842105263158,0.2894736842105263,2.0,0.868421052631579,0.5526315789473685
2022-08-07,Leicester,Brentford,2,2,D,0,1.631578947368421,1.5526315789473684,0.3684210526315789,1.263157894736842,1.4736842105263157,0.34210526315789475
2022-08-07,Man United,Brighton,1,2,A,0,1.5,1.5,0.42105263157894735,1.105263157894737,1.1578947368421053,0.3157894736842105
2022-08-07,West Ham,Man City,0,2,A,0,1.5789473684210527,1.3421052631578947,0.42105263157894735,2.6052631578947367,0.6842105263157895,0.7631578947368421
2022-08-13,Aston Villa,Everton,2,1,H,1,1.3333333333333333,1.435897435897436,0.3333333333333333,1.1025641025641026,1.7179487179487178,0.28205128205128205
2022-08-13,Arsenal,Leicester,4,2,H,1,1.6153846153846154,1.2307692307692308,0.5897435897435898,1.641025641025641,1.564102564102564,0.358974358974359
2022-08-13,Brighton,Newcastle,0,0,D,0,1.1282051282051282,1.1538461538461537,0.3333333333333333,1.1794871794871795,1.5897435897435896,0.358974358974359
2022-08-13,Man City,Bournemouth,4,0,H,1,2.58974358974359,0.6666666666666666,0.7692307692307693,2.0,0.0,1.0
2022-08-13,Southampton,Leeds,2,2,D,0,1.1282051282051282,1.8205128205128205,0.23076923076923078,1.1282051282051282,2.051282051282051,0.2564102564102564
2022-08-13,Wolves,Fulham,0,0,D,0,1.0,1.1538461538461537,0.38461538461538464,2.0,2.0,0.0
2022-08-13,Brentford,Man United,4,0,H,1,1.2820512820512822,1.4871794871794872,0.3333333333333333,1.4871794871794872,1.5128205128205128,0.41025641025641024
2022-08-14,Nott'm Forest,West Ham,1,0,H,1,0.0,2.0,0.0,1.5384615384615385,1.358974358974359,0.41025641025641024
2022-08-14,Chelsea,Tottenham,2,2,D,0,1.9743589743589745,0.8461538461538461,0.5641025641025641,1.8717948717948718,1.0512820512820513,0.5897435897435898
2022-08-15,Liverpool,Crystal Palace,1,1,D,0,2.4615384615384617,0.717948717948718,0.717948717948718,1.2820512820512822,1.2307692307692308,0.28205128205128205
2022-08-20,Tottenham,Wolves,1,0,H,1,1.875,1.075,0.575,0.975,1.125,0.375
2022-08-20,Crystal Palace,Aston Villa,3,1,H,1,1.275,1.225,0.275,1.35,1.425,0.35
2022-08-20,Everton,Nott'm Forest,1,1,D,0,1.1,1.725,0.275,0.5,1.0,0.5
2022-08-20,Fulham,Brentford,3,2,H,1,1.0,1.0,0.0,1.35,1.45,0.35
2022-08-20,Leicester,Southampton,1,2,A,0,1.65,1.625,0.35,1.15,1.825,0.225
2022-08-20,Bournemouth,Arsenal,0,3,A,0,1.0,2.0,0.5,1.675,1.25,0.6
2022-08-21,Leeds,Chelsea,3,0,H,1,1.15,2.05,0.25,1.975,0.875,0.55
2022-08-21,West Ham,Brighton,0,2,A,0,1.5,1.35,0.4,1.1,1.125,0.325
2022-08-21,Newcastle,Man City,3,3,D,0,1.15,1.55,0.35,2.625,0.65,0.775
2022-08-22,Man United,Liverpool,2,1,H,1,1.45,1.575,0.4,2.425,0.725,0.7
2022-08-27,Southampton,Man United,0,1,A,0,1.170731707317073,1.8048780487804879,0.24390243902439024,1.4634146341463414,1.5609756097560976,0.4146341463414634
2022-08-27,Brentford,Everton,1,1,D,0,1.3658536585365855,1.4878048780487805,0.34146341463414637,1.0975609756097562,1.7073170731707317,0.2682926829268293
2022-08-27,Brighton,Leeds,1,0,H,1,1.1219512195121952,1.0975609756097562,0.34146341463414637,1.1951219512195121,2.0,0.2682926829268293
2022-08-27,Chelsea,Leicester,2,1,H,1,1.9268292682926829,0.926829268292683,0.5365853658536586,1.6341463414634145,1.6341463414634145,0.34146341463414637
2022-08-27,Liverpool,Bournemouth,9,0,H,1,2.3902439024390243,0.7560975609756098,0.6829268292682927,0.6666666666666666,2.3333333333333335,0.3333333333333333
2022-08-27,Man City,Crystal Palace,4,2,H,1,2.6341463414634148,0.7073170731707317,0.7560975609756098,1.3170731707317074,1.2195121951219512,0.2926829268292683
2022-08-27,Arsenal,Fulham,2,1,H,1,1.7073170731707317,1.2195121951219512,0.6097560975609756,1.6666666666666667,1.3333333333333333,0.3333333333333333
2022-08-28,Aston Villa,West Ham,0,1,A,0,1.3414634146341464,1.4634146341463414,0.34146341463414637,1.4634146341463414,1.3658536585365855,0.3902439024390244
2022-08-28,Wolves,Newcastle,1,1,D,0,0.9512195121951219,1.1219512195121952,0.36585365853658536,1.1951219512195121,1.5853658536585367,0.34146341463414637
2022-08-28,Nott'm Forest,Tottenham,0,2,A,0,0.6666666666666666,1.0,0.3333333333333333,1.853658536585366,1.048780487804878,0.5853658536585366
2022-08-30,Crystal Palace,Brentford,1,1,D,0,1.3333333333333333,1.2857142857142858,0.2857142857142857,1.3571428571428572,1.4761904761904763,0.3333333333333333
2022-08-30,Fulham,Brighton,2,1,H,1,1.5,1.5,0.25,1.119047619047619,1.0714285714285714,0.35714285714285715
2022-08-30,Southampton,Chelsea,2,1,H,1,1.1428571428571428,1.7857142857142858,0.23809523809523808,1.9285714285714286,0.9285714285714286,0.5476190476190477
2022-08-30,Leeds,Everton,1,1,D,0,1.1666666666666667,1.9761904761904763,0.2619047619047619,1.0952380952380953,1.6904761904761905,0.2619047619047619
2022-08-31,Arsenal,Aston Villa,2,1,H,1,1.7142857142857142,1.2142857142857142,0.6190476190476191,1.3095238095238095,1.4523809523809523,0.3333333333333333
2022-08-31,Bournemouth,Wolves,0,0,D,0,0.5,4.0,0.25,0.9523809523809523,1.119047619047619,0.35714285714285715
2022-08-31,Man City,Nott'm Forest,6,0,H,1,2.6666666666666665,0.7380952380952381,0.7619047619047619,0.5,1.25,0.25
2022-08-31,West Ham,Tottenham,1,1,D,0,1.4523809523809523,1.3333333333333333,0.40476190476190477,1.8571428571428572,1.0238095238095237,0.5952380952380952
2022-08-31,Liverpool,Newcastle,2,1,H,1,2.5476190476190474,0.7380952380952381,0.6904761904761905,1.1904761904761905,1.5714285714285714,0.3333333333333333
2022-09-01,Leicester,Man United,0,1,A,0,1.619047619047619,1.6428571428571428,0.3333333333333333,1.4523809523809523,1.5238095238095237,0.42857142857142855
2022-09-03,Everton,Liverpool,0,0,D,0,1.0930232558139534,1.6744186046511629,0.2558139534883721,2.5348837209302326,0.7441860465116279,0.6976744186046512
2022-09-03,Brentford,Leeds,5,2,H,1,1.3488372093023255,1.4651162790697674,0.32558139534883723,1.1627906976744187,1.9534883720930232,0.2558139534883721
2022-09-03,Chelsea,West Ham,2,1,H,1,1.9069767441860466,0.9534883720930233,0.5348837209302325,1.441860465116279,1.3255813953488371,0.3953488372093023
2022-09-03,Newcastle,Crystal Palace,0,0,D,0,1.186046511627907,1.5813953488372092,0.32558139534883723,1.3255813953488371,1.2790697674418605,0.27906976744186046
2022-09-03,Nott'm Forest,Bournemouth,2,3,A,0,0.4,2.2,0.2,0.4,3.2,0.2
2022-09-03,Tottenham,Fulham,2,1,H,1,1.8372093023255813,1.0232558139534884,0.5813953488372093,1.6,1.4,0.4
2022-09-03,Wolves,Southampton,1,0,H,1,0.9302325581395349,1.0930232558139534,0.3488372093023256,1.1627906976744187,1.7674418604651163,0.2558139534883721
2022-09-03,Aston Villa,Man City,1,1,D,0,1.302325581395349,1.4651162790697674,0.32558139534883723,2.744186046511628,0.7209302325581395,0.7674418604651163
2022-09-04,Brighton,Leicester,5,2,H,1,1.1162790697674418,1.0930232558139534,0.3488372093023256,1.5813953488372092,1.627906976744186,0.32558139534883723
2022-09-04,Man United,Arsenal,3,1,H,1,1.441860465116279,1.4883720930232558,0.4418604651162791,1.7209302325581395,1.2093023255813953,0.627906976744186
2022-09-16,Aston Villa,Southampton,1,0,H,1,1.2954545454545454,1.4545454545454546,0.3181818181818182,1.1363636363636365,1.75,0.25
2022-09-16,Nott'm Forest,Fulham,2,3,A,0,0.6666666666666666,2.3333333333333335,0.16666666666666666,1.5,1.5,0.3333333333333333
2022-09-17,Wolves,Man City,0,3,A,0,0.9318181818181818,1.0681818181818181,0.36363636363636365,2.7045454545454546,0.7272727272727273,0.75
2022-09-17,Newcastle,Bournemouth,1,1,D,0,1.1590909090909092,1.5454545454545454,0.3181818181818182,0.8333333333333334,3.0,0.3333333333333333
2022-09-17,Tottenham,Leicester,6,2,H,1,1.8409090909090908,1.0227272727272727,0.5909090909090909,1.5909090909090908,1.7045454545454546,0.3181818181818182
2022-09-18,Brentford,Arsenal,0,3,A,0,1.4318181818181819,1.4772727272727273,0.3409090909090909,1.7045454545454546,1.25,0.6136363636363636
2022-09-18,Everton,West Ham,1,0,H,1,1.0681818181818181,1.6363636363636365,0.25,1.4318181818181819,1.3409090909090908,0.38636363636363635
2022-10-01,Arsenal,Tottenham,3,1,H,1,1.7333333333333334,1.2222222222222223,0.6222222222222222,1.9333333333333333,1.0444444444444445,0.6
2022-10-01,Bournemouth,Brentford,0,0,D,0,0.8571428571428571,2.7142857142857144,0.2857142857142857,1.4,1.511111111111111,0.3333333333333333
2022-10-01,Crystal Palace,Chelsea,1,2,A,0,1.2954545454545454,1.25,0.2727272727272727,1.9090909090909092,0.9545454545454546,0.5454545454545454
2022-10-01,Fulham,Newcastle,1,4,A,0,1.7142857142857142,1.5714285714285714,0.42857142857142855,1.1555555555555554,1.5333333333333334,0.3111111111111111
2022-10-01,Liverpool,Brighton,3,3,D,0,2.477272727272727,0.7272727272727273,0.6818181818181818,1.2045454545454546,1.1136363636363635,0.36363636363636365
2022-10-01,Southampton,Everton,1,2,A,0,1.1111111111111112,1.7333333333333334,0.24444444444444444,1.0666666666666667,1.6,0.26666666666666666
2022-10-01,West Ham,Wolves,2,0,H,1,1.4,1.3333333333333333,0.37777777777777777,0.9111111111111111,1.1111111111111112,0.35555555555555557
2022-10-02,Man City,Man United,6,3,H,1,2.7111111111111112,0.7111111111111111,0.7555555555555555,1.4772727272727273,1.4772727272727273,0.45454545454545453
2022-10-02,Leeds,Aston Villa,0,0,D,0,1.1818181818181819,2.022727272727273,0.25,1.288888888888889,1.4222222222222223,0.3333333333333333
2022-10-03,Leicester,Nott'm Forest,4,0,H,1,1.6,1.8,0.3111111111111111,0.8571428571428571,2.4285714285714284,0.14285714285714285
2022-10-08,Bournemouth,Leicester,2,1,H,1,0.75,2.375,0.25,1.6521739130434783,1.7608695652173914,0.32608695652173914
2022-10-08,Chelsea,Wolves,3,0,H,1,1.9111111111111112,0.9555555555555556,0.5555555555555556,0.8913043478260869,1.1304347826086956,0.34782608695652173
2022-10-08,Man City,Southampton,4,0,H,1,2.782608695652174,0.7608695652173914,0.7608695652173914,1.108695652173913,1.7391304347826086,0.2391304347826087
2022-10-08,Newcastle,Brentford,5,1,H,1,1.2173913043478262,1.5217391304347827,0.32608695652173914,1.3695652173913044,1.4782608695652173,0.32608695652173914
2022-10-08,Brighton,Tottenham,0,1,A,0,1.2444444444444445,1.1555555555555554,0.35555555555555557,1.9130434782608696,1.0869565217391304,0.5869565217391305
2022-10-09,Crystal Palace,Leeds,2,1,H,1,1.288888888888889,1.2666666666666666,0.26666666666666666,1.1555555555555554,1.9777777777777779,0.24444444444444444
2022-10-09,West Ham,Fulham,3,1,H,1,1.4130434782608696,1.3043478260869565,0.391304347826087,1.625,1.875,0.375
2022-10-09,Arsenal,Liverpool,3,2,H,1,1.7608695652173914,1.2173913043478262,0.6304347826086957,2.488888888888889,0.7777777777777778,0.6666666666666666
2022-10-09,Everton,Man United,1,2,A,0,1.0869565217391304,1.5869565217391304,0.2826086956521739,1.511111111111111,1.5777777777777777,0.4444444444444444
2022-10-10,Nott'm Forest,Aston Villa,1,1,D,0,0.75,2.625,0.125,1.2608695652173914,1.391304347826087,0.32608695652173914
2022-10-14,Brentford,Brighton,2,0,H,1,1.3617021276595744,1.553191489361702,0.3191489361702128,1.2173913043478262,1.1521739130434783,0.34782608695652173
